Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/flows,23,0,2,1.7105676521445592,1.0018070001933665,2.444106999973883,1961.0,0.3897278195205623,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/health,20,0,2,1.5636625000524873,0.9859660003712634,2.254778999940754,175.0,0.3388937561048368,0.0,2,2,2,2,2,2,2,2,2,2,2
POST,/api/tasks,251,0,7,7.3044859641413495,1.1925879998671007,118.51832100001047,2797.422310756972,4.253116639115702,0.0,7,7,7,7,8,9,10,26,120,120,120
GET,/api/tasks/[id] (poll),145,145,2,1.8506975655045295,0.8688349998919875,7.552197999757482,207.0,2.456979731760067,2.456979731760067,2,2,2,2,2,2,4,4,8,8,8
GET,/api/tasks?limit=10,41,0,4,4.187605756092902,3.017693999936455,6.159020999803033,30214.51219512195,0.6947322000149154,0.0,4,4,5,5,5,5,6,6,6,6,6
,Aggregated,480,145,4,4.88351097082879,0.8688349998919875,118.51832100001047,4207.429166666667,8.133450146516083,2.456979731760067,4,6,7,7,7,8,9,11,120,120,120
