Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775141307,10,,Aggregated,8.300000,2.300000,5,6,7,7,8,8,10,16,120,120,120,247,71,5,5.311752469645321,0.8688349998919875,118.51832100001047,3942.255060728745
1775141308,10,,Aggregated,8.100000,2.200000,5,6,7,7,8,8,10,16,120,120,120,253,73,5,5.294323490129266,0.8688349998919875,118.51832100001047,4014.806324110672
1775141309,10,,Aggregated,8.200000,2.200000,5,6,7,7,8,8,10,16,120,120,120,266,78,5,5.230733748132644,0.8688349998919875,118.51832100001047,4132.8646616541355
1775141310,10,,Aggregated,8.000000,2.200000,5,6,7,7,8,8,10,16,120,120,120,273,79,5,5.2227061648439275,0.8688349998919875,118.51832100001047,4320.0329670329675
1775141311,10,,Aggregated,8.000000,2.200000,5,6,7,7,8,8,10,16,120,120,120,276,80,5,5.213050510877216,0.8688349998919875,118.51832100001047,4404.949275362319
1775141312,10,,Aggregated,8.300000,2.400000,5,6,7,7,7,8,10,16,120,120,120,289,85,5,5.177274896208832,0.8688349998919875,118.51832100001047,4290.716262975779
1775141313,10,,Aggregated,8.000000,2.300000,5,6,7,7,8,8,10,16,120,120,120,296,87,5,5.159473489882387,0.8688349998919875,118.51832100001047,4342.905405405405
1775141314,10,,Aggregated,8.000000,2.300000,5,6,7,7,8,8,10,16,120,120,120,300,88,5,5.149484406680737,0.8688349998919875,118.51832100001047,4308.3133333333335
1775141315,10,,Aggregated,8.200000,2.600000,5,6,7,7,8,8,9,11,120,120,120,310,92,5,5.133090429044094,0.8688349998919875,118.51832100001047,4324.703225806452
1775141316,10,,Aggregated,8.100000,2.500000,5,6,7,7,8,8,9,11,120,120,120,320,96,5,5.127957837507324,0.8688349998919875,118.51832100001047,4248.296875
1775141317,10,,Aggregated,8.400000,2.800000,5,6,7,7,8,8,9,11,120,120,120,328,99,5,5.1034409542747134,0.8688349998919875,118.51832100001047,4186.344512195122
1775141318,10,,Aggregated,8.400000,2.800000,5,6,7,7,8,8,10,16,120,120,120,337,102,5,5.141437943626383,0.8688349998919875,118.51832100001047,4195.367952522255
1775141319,10,,Aggregated,8.500000,3.000000,5,6,7,7,8,8,10,16,120,120,120,346,105,5,5.103697661857593,0.8688349998919875,118.51832100001047,4132.031791907514
1775141320,10,,Aggregated,8.500000,3.000000,5,6,7,7,8,8,10,16,120,120,120,349,105,5,5.0922364068830115,0.8688349998919875,118.51832100001047,4118.157593123209
1775141321,10,,Aggregated,8.800000,3.100000,5,6,7,7,7,8,9,16,120,120,120,360,109,4,5.053650663894081,0.8688349998919875,118.51832100001047,4128.077777777778
1775141322,10,,Aggregated,8.100000,2.700000,5,6,7,7,7,8,9,16,120,120,120,370,111,5,5.044677194602529,0.8688349998919875,118.51832100001047,4155.4648648648645
1775141323,10,,Aggregated,8.400000,2.900000,4,6,7,7,7,8,9,16,120,120,120,377,113,4,5.023230803720829,0.8688349998919875,118.51832100001047,4101.281167108753
1775141324,10,,Aggregated,8.000000,2.600000,4,6,7,7,7,8,9,16,120,120,120,388,117,4,5.005345817016156,0.8688349998919875,118.51832100001047,4171.4252577319585
1775141325,10,,Aggregated,8.000000,2.500000,4,6,7,7,7,8,9,16,120,120,120,398,119,4,4.985848045231735,0.8688349998919875,118.51832100001047,4257.665829145729
1775141326,10,,Aggregated,8.000000,2.500000,4,6,7,7,7,8,9,11,120,120,120,401,120,4,4.985690276812772,0.8688349998919875,118.51832100001047,4238.384039900249
1775141327,10,,Aggregated,8.300000,2.500000,4,6,7,7,7,8,9,11,120,120,120,416,125,4,4.957136620192798,0.8688349998919875,118.51832100001047,4268.483173076923
1775141328,10,,Aggregated,8.400000,2.500000,4,6,7,7,7,8,9,11,120,120,120,422,126,4,4.95295653317479,0.8688349998919875,118.51832100001047,4224.436018957346
1775141329,10,,Aggregated,8.300000,2.400000,4,6,7,7,7,8,9,11,120,120,120,429,127,4,4.933335624706385,0.8688349998919875,118.51832100001047,4300.4662004662005
1775141330,10,,Aggregated,8.400000,2.400000,4,6,7,7,7,8,9,11,120,120,120,437,130,4,4.91360237299562,0.8688349998919875,118.51832100001047,4245.324942791762
1775141331,10,,Aggregated,8.300000,2.200000,4,6,7,7,7,8,9,11,120,120,120,445,132,4,4.915419934828667,0.8688349998919875,118.51832100001047,4342.042696629213
