Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/flows,10,0,1,1.85522329993546,0.9088500000871136,3.8179190000846575,1961.0,0.17052159009509357,0.0,2,2,2,2,4,4,4,4,4,4,4
GET,/api/health,20,0,2,1.6423485000359506,0.850310000259924,2.3118170001907856,175.0,0.34104318019018715,0.0,2,2,2,2,2,2,2,2,2,2,2
POST,/api/tasks,260,0,6,6.906783896159561,1.3781999996353989,115.50258099987332,2902.5115384615383,4.433561342472433,0.0,6,7,7,7,9,12,14,15,120,120,120
GET,/api/tasks/[id] (poll),159,159,2,1.8081731760995245,0.8383970002796559,9.224965999692358,207.0,2.711293282511988,2.711293282511988,2,2,2,2,2,3,3,3,9,9,9
GET,/api/tasks?limit=10,35,0,4,4.182087828602172,2.7255609998064756,7.958877999953984,29410.542857142857,0.5968255653328275,0.0,4,4,4,5,5,5,8,8,8,8,8
,Aggregated,484,159,5,4.712883522732355,0.8383970002796559,115.50258099987332,3801.745867768595,8.25324496060253,2.711293282511988,5,6,6,7,7,9,13,14,120,120,120
